time,data
2779,43.88
2780,44.175
2781,44.685
2784,45.025
2785,45.15
2786,45.145
2787,45.03
2788,45.25
2791,45.285
2792,45.158
2793,44.885
2794,44.815
2795,45.261
2799,45.261
2800,44.746
2801,45.0
2802,45.51
2805,46.246
2806,46.615
2807,46.831
2808,46.871
2809,46.803
2812,46.39
2813,46.575
2814,46.39
2815,46.636
2816,47.166
2819,47.18
2820,46.705
2821,46.856
2822,46.46
2823,46.17
2826,46.21
2827,46.365
2828,46.085
2829,45.795
2830,46.035
2833,46.106
2834,45.695
2835,46.13
2836,46.175
2837,44.815
2840,43.735
2841,43.8
2842,43.11
2843,42.636
2844,43.416
2847,43.57
2848,44.621
2849,44.69
2850,44.82
2851,46.481
2854,45.81
2855,46.175
2856,46.53
2857,46.185
2858,46.945
2861,47.165
2862,47.436
2863,47.83
2864,48.28
2865,48.8
2868,48.77
2869,48.86
2870,48.67
2871,49.21
2872,49.66
2875,49.435
2876,48.935
2877,48.44
2878,48.35
2879,48.5
2882,47.791
2883,47.565
2884,47.621
2886,47.88
2889,48.25
2890,48.651
2891,48.26
2892,48.615
2893,48.621
2896,47.978
2897,47.35
2898,47.24
2899,47.125
2900,46.865
2903,46.935
2904,45.53
2905,45.395
2906,47.05
2907,47.645
2910,47.88
2911,48.41
2912,48.39
2914,48.145
2917,47.575
2918,47.231
2919,46.59
2921,46.71
2924,46.348
2925,46.015
2926,46.105
2927,47.17
2928,47.4
2931,47.011
2932,46.663
2933,45.958
2934,45.85
2935,45.776
2939,46.345
2940,45.93
2941,46.755
2942,47.27
2945,47.005
2946,42.805
2947,41.965
2948,41.47
2949,40.975
2952,40.935
2953,41.615
2954,41.89
2955,42.335
2956,42.545
2959,42.3
2960,42.67
2961,42.515
2962,42.875
2963,43.625
2967,43.775
2968,43.58
2969,43.34
2970,43.683
2973,43.925
2974,44.121
2975,43.97
2976,44.023
2977,43.99
2980,43.776
2981,43.42
2982,43.033
2983,43.09
2984,42.68
2987,42.52
2988,42.19
2989,42.145
2990,41.175
2991,41.041
2994,41.515
2995,41.533
2996,41.965
2997,42.273
2998,42.72
3001,42.868
3002,42.84
3003,42.19
3004,41.215
3005,41.045
3008,41.03
3009,40.718
3010,40.66
3011,40.475
3015,40.943
3016,41.57
3017,41.44
3018,41.365
3019,41.675
3022,41.58
3023,41.725
3024,42.008
3025,42.055
3026,41.643
3029,42.318
3030,42.818
3031,42.828
3032,43.115
3033,46.765
3036,47.63
3037,48.468
3038,48.89
